"Year","County","Sex","Age","Harvest_Increase","year_freq","Class","Value","Class_Specify","Sex2","N_preharvest"
2034,"Jackson","Female","Sexually Mature",0.6,"2026",NA,40.4148901279108,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.6,"2026",NA,40.4168268438684,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.5440414507772,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.0097983179554,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.2397586103787,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.3279493615628,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.3773998301975,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.4015953789025,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.4133624381752,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.4147235176549,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.4149701600759,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.7,"2026",NA,40.9038932752518,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.1809067131648,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.096645036587,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.2815734989648,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.3492239467849,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.3890032834326,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.4063836328573,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.4155552435771,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.4169487700293,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.8,"2026",NA,40.4188986197319,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.9,"2026",NA,41.2724575572771,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.3706465600575,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.1927548819096,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.3252488434039,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.3728632177758,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.3976131896722,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.408487912962,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.4138127853881,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.4185779816514,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.9,"2026",NA,40.4205674780354,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",1,"2026",NA,41.6488786627117,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",1,"2026",NA,40.5656678801456,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",1,"2026",NA,40.2889154296764,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",1,"2026",NA,40.3709190359524,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",1,"2026",NA,40.39496279336,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",1,"2026",NA,40.4093247865705,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",1,"2026",NA,40.4141037858442,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",1,"2026",NA,40.4183711956364,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",1,"2026",NA,40.4215006121378,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",1,"2026",NA,40.4211697859005,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.1,"2027",NA,38.4993849938499,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.1,"2027",NA,39.2475138398337,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.1,"2027",NA,39.648536412438,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.1,"2027",NA,40.0835598510017,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.1,"2027",NA,40.2528578999167,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.1,"2027",NA,40.3407077405964,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.1,"2027",NA,40.3807054996442,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.1,"2027",NA,40.4017971103283,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.1,"2027",NA,40.4087284289341,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.1,"2027",NA,40.4157757799016,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.2,"2027",NA,38.826721798682,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.2,"2027",NA,39.6640200158288,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.2,"2027",NA,39.8621154394422,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.2,"2027",NA,40.1878079612001,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.2,"2027",NA,40.3003625064733,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.2,"2027",NA,40.3616805674643,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.2,"2027",NA,40.3939986953686,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.2,"2027",NA,40.4077995597023,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.2,"2027",NA,40.4128706093001,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.2,"2027",NA,40.4184963758531,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.3,"2027",NA,39.1566108055983,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.0869135288454,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.0780068454987,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.295665511861,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.3512967687075,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.3884116736915,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.4040945388285,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.4124155382669,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.415404586759,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.3,"2027",NA,40.4179007146157,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.4,"2027",NA,39.4952681388013,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.5205348615091,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.2989130434783,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.3992730626305,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.3988868274583,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.4137553089464,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.4145790893575,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.4165283770329,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.4157172233646,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.4,"2027",NA,40.4165619677807,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.5,"2027",NA,39.8398345310387,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.9641813656531,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.5355751029952,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.5148184221511,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.4551059298285,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.4386508249338,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.4283612494341,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.4224471230384,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.4170237075121,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.5,"2027",NA,40.4189984215813,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.1872408720075,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.6,"2027",NA,41.4126086356739,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.7706348753636,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.6276771945856,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.5061468920047,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.4647528649149,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.4410053525716,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.4296989184449,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.4252819548872,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.6,"2027",NA,40.4237738299003,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.5440414507772,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.7,"2027",NA,41.8742085268046,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.7,"2027",NA,41.0136497822465,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.7480141864759,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.5627718436548,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.4926958436226,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.4529001764935,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.4371091871092,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.4283599673746,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.7,"2027",NA,40.4219153134011,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.9038932752518,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.8,"2027",NA,42.3428079242033,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.8,"2027",NA,41.2663690030266,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.8747479004244,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.6224331477594,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.5215155781355,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.4678362573099,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.4417906753705,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.4290377739779,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.8,"2027",NA,40.4267283121427,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.9,"2027",NA,41.2724575572771,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.9,"2027",NA,42.8224058123865,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.9,"2027",NA,41.527116300507,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.9,"2027",NA,41.0000309224157,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.9,"2027",NA,40.6822093569082,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.9,"2027",NA,40.5487132642454,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.9,"2027",NA,40.4816223067174,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.9,"2027",NA,40.4478277487578,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.9,"2027",NA,40.4308440830959,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.9,"2027",NA,40.4239577972208,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",1,"2027",NA,41.6488786627117,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",1,"2027",NA,43.3116067691204,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",1,"2027",NA,41.793255594075,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",1,"2027",NA,41.1325431376911,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",1,"2027",NA,40.7444376469073,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",1,"2027",NA,40.5771725032425,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",1,"2027",NA,40.4946005024306,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",1,"2027",NA,40.455261086329,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",1,"2027",NA,40.43647392365,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",1,"2027",NA,40.4293381037567,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.1,"2028",NA,38.4993849938499,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.1,"2028",NA,39.2475138398337,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.1,"2028",NA,39.9123142412888,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.1,"2028",NA,40.2221996237352,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.1,"2028",NA,40.3203591287048,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.1,"2028",NA,40.3717643444197,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.1,"2028",NA,40.3959886860375,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.1,"2028",NA,40.4091543111019,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.1,"2028",NA,40.4141581897447,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.1,"2028",NA,40.4176551867977,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.2,"2028",NA,38.826721798682,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.2,"2028",NA,39.6640200158288,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.3928984136989,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.4674791397963,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.4412348226331,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.4296044236495,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.426839040547,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.4240472356414,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.4190486463165,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.2,"2028",NA,40.4183261535127,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.3,"2028",NA,39.1566108055983,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.0869135288454,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.8795669824087,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.7217618839948,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.5658306349816,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.4881550610194,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.4546463861441,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.4362743730648,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.4288717589348,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.3,"2028",NA,40.4224757076468,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.4,"2028",NA,39.4952681388013,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.5205348615091,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.4,"2028",NA,41.3760392835221,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.9771251059023,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.6914817873722,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.544572920552,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.4790073582456,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.4496011602611,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.4331603801084,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.4,"2028",NA,40.42883505668,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.5,"2028",NA,39.8398345310387,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.5,"2028",NA,40.9641813656531,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.5,"2028",NA,41.8881601656886,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.5,"2028",NA,41.2474024643662,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.5,"2028",NA,40.824534942182,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.5,"2028",NA,40.6110149770273,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.5,"2028",NA,40.5145756402174,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.5,"2028",NA,40.4673489720134,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.5,"2028",NA,40.4412210960733,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.5,"2028",NA,40.4299435889617,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.6,"2028",NA,40.1872408720075,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.6,"2028",NA,41.4126086356739,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.6,"2028",NA,42.4070722952327,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.6,"2028",NA,41.5238037442728,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.6,"2028",NA,40.9632633001597,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.6,"2028",NA,40.6745477675386,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.6,"2028",NA,40.5404561074664,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.6,"2028",NA,40.4776119402985,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.6,"2028",NA,40.4485154769425,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.6,"2028",NA,40.4297866937532,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.7,"2028",NA,40.5440414507772,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.7,"2028",NA,41.8742085268046,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.7,"2028",NA,42.9362626602613,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.7,"2028",NA,41.8071985904858,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.7,"2028",NA,41.0985573854207,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.7,"2028",NA,40.7431320011622,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.7,"2028",NA,40.5788617886179,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.7,"2028",NA,40.4986258343149,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.7,"2028",NA,40.4591954212032,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.7,"2028",NA,40.4383326171036,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.8,"2028",NA,40.9038932752518,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.8,"2028",NA,42.3428079242033,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.8,"2028",NA,43.4786726865153,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.8,"2028",NA,42.1054349600131,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.8,"2028",NA,41.252405920223,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.8,"2028",NA,40.8148173047834,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.8,"2028",NA,40.6085866287147,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.8,"2028",NA,40.5088329581884,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.8,"2028",NA,40.4601879157808,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.8,"2028",NA,40.4370454623789,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.9,"2028",NA,41.2724575572771,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.9,"2028",NA,42.8224058123865,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.9,"2028",NA,44.0328413644805,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.9,"2028",NA,42.4051490514905,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.9,"2028",NA,41.3991854766342,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.9,"2028",NA,40.8823529411765,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.9,"2028",NA,40.6442042805679,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.9,"2028",NA,40.5290102389078,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.9,"2028",NA,40.469805856484,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.9,"2028",NA,40.4463291048262,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",1,"2028",NA,41.6488786627117,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",1,"2028",NA,43.3116067691204,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",1,"2028",NA,44.5957761635728,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",1,"2028",NA,42.714963952875,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",1,"2028",NA,41.553544494721,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",1,"2028",NA,40.9588441330998,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",1,"2028",NA,40.6819604521854,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",1,"2028",NA,40.5451511218246,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",1,"2028",NA,40.4774337933607,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",1,"2028",NA,40.4477108253028,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.1,"2029",NA,38.4993849938499,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.1,"2029",NA,39.2475138398337,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.1,"2029",NA,39.9123142412888,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.1,"2029",NA,40.4743022333649,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.1,"2029",NA,40.4552828779646,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.1,"2029",NA,40.4402255444623,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.1,"2029",NA,40.4268593859672,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.1,"2029",NA,40.4231422228027,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.1,"2029",NA,40.4214559386973,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.1,"2029",NA,40.4213246150601,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.2,"2029",NA,38.826721798682,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.2,"2029",NA,39.6640200158288,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.3928984136989,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.9743876762346,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.713977566868,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.5670103092784,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.4886704886705,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.4539092730316,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.4358019583506,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.2,"2029",NA,40.4251780814324,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.3,"2029",NA,39.1566108055983,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.0869135288454,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.8795669824087,NA,"PrecM",NA
2029,"Jackson","Female","Sexually Mature",0.3,"2029",NA,41.4861712762413,NA,"PrecM",NA
2030,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.9769871523366,NA,"PrecM",NA
2031,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.6945630515229,NA,"PrecM",NA
2032,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.5478273340026,NA,"PrecM",NA
2033,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.4805861651186,NA,"PrecM",NA
2034,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.4518168372821,NA,"PrecM",NA
2035,"Jackson","Female","Sexually Mature",0.3,"2029",NA,40.4360117746495,NA,"PrecM",NA
2026,"Jackson","Female","Sexually Mature",0.4,"2029",NA,39.4952681388013,NA,"PrecM",NA
2027,"Jackson","Female","Sexually Mature",0.4,"2029",NA,40.5205348615091,NA,"PrecM",NA
2028,"Jackson","Female","Sexually Mature",0.4,"2029",NA,41.3760392835221,NA,"PrecM",NA
